LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID4172,4172,0,43.0,66.41269841269842,32.45238095238095,0.0,166.0,166,3.656366395715726,1,,157.11904761904762,179.0,61.0,222.0,6599.0,53.95535750923069,0.8817546694548738,2.729034493392818,0.007052835675321054,0.01628717586602413,4.3246364788891,3.327960099467995,1.1893955652767252,1.2994856757989475,42.0,24.24483498974493,0.8978849437255546,0.9882352941176471,3.741059258195783
ID4174,4174,0,39.0,66.61814345991561,31.99789029535865,0.0,167.0,167,3.5458765494951647,1,,149.35897435897436,156.0,52.0,222.0,5825.0,56.140091303381006,0.882071700111859,2.4937673117306347,0.006713514860839669,-0.002689325870729983,3.8144060648119082,3.51596815414655,1.5473639915687585,1.0848807206383242,39.50000000000001,23.594553449872045,0.8916274595619214,0.9875000000000002,3.754163772783861
ID4175,4175,0,45.0,66.79962546816479,31.470037453183522,0.0,168.0,168,3.763613946086751,1,,149.2325581395349,160.0,52.0,222.0,6417.0,59.42255352229182,0.9100694701860138,2.3931374954750653,0.09749932887210272,-0.001895259786735267,4.330958757542077,3.586646243875648,1.1445212486930598,1.2075232579564752,44.5,24.556395895082645,0.9273434785759338,1.0,3.6811593781784664
ID4176,4176,0,39.0,66.91991341991341,31.071428571428573,0.0,169.0,169,3.5007043031475735,1,,118.97435897435898,112.0,50.0,203.0,4640.0,49.67498956611931,0.8801439787820743,2.242374771748651,0.050570867542253935,-0.023428251558936904,4.055687075254026,3.2162446270456733,0.9594491634895601,1.2610008085670505,38.49999999999999,24.358485472372255,0.8153987283814842,0.9390243902439023,3.9257253925032356
ID4177,4177,0,38.0,66.82882882882882,30.536036036036034,0.0,170.0,170,3.4318312587888484,1,,154.0810810810811,163.0,55.0,222.0,5701.0,54.13633939640954,0.8666302864938608,2.6428102392449717,0.00869588580820996,-0.11441317014242901,4.21808154137556,3.130278277902815,1.067394346974138,1.3475100827781796,36.99999999999999,22.85038626520892,0.8904806698593689,0.9866666666666665,3.756580361536592
ID4178,4178,0,42.0,67.24485596707818,30.746913580246915,0.0,171.0,171,3.5904805236128943,1,,147.8048780487805,155.0,41.0,222.0,6060.0,60.68987539622862,0.9024327854366184,2.3105111061723163,0.020124831107330245,-0.03956504560644659,4.035585287274728,3.399706720152419,0.7745785897061914,1.1870392417537123,40.5,23.594553449872045,0.9142003066394382,1.0,3.7075263874384383
ID4179,4179,0,39.0,67.23504273504273,30.311965811965813,0.0,172.0,172,3.5233628199729634,1,,148.15384615384616,158.0,48.0,222.0,5778.0,58.84437032570186,0.8870019595035925,2.3669562697523867,-0.029677193587195803,0.025520294423592712,4.054178728686985,3.2774505342803932,1.415351840229556,1.2369915842458725,38.99999999999999,23.48090296724472,0.8888835791978833,0.9749999999999999,3.7599536418212898
ID4180,4180,0,30.0,67.10344827586206,31.28735632183908,0.0,173.0,173,3.0382538898732494,1,,139.75862068965517,134.0,55.0,214.0,4053.0,48.81792350328323,0.8217094913476665,2.5826674041478936,0.06670813207377768,0.0504542703984333,3.638925047418151,3.0159966922374877,1.291630360244664,1.2065414583457417,29.000000000000004,21.436860833581022,0.7930224549265554,0.9666666666666668,3.980725121946225
ID4181,4181,0,34.0,67.36764705882354,31.779411764705884,0.0,174.0,174,3.2897623212397704,1,,131.3235294117647,124.0,51.0,222.0,4465.0,55.62140452839383,0.8697654941373534,2.1965729133263108,0.10692503839065746,-0.13223135311269574,4.025963321042468,3.178883342762047,1.2362863688538788,1.2664709229450415,34.0,22.83130955811703,0.8196475331306612,0.9714285714285714,3.915537286167709
ID4182,4182,0,37.0,67.77927927927928,31.855855855855857,0.0,175.0,175,3.4318312587888484,1,,122.37837837837837,122.0,41.0,206.0,4528.0,52.91311082612038,0.8757249378624689,2.159583295825826,0.023670993749475944,-0.0013142493349864157,3.8653655774428066,3.2454587344471304,1.1859255418616814,1.1910074641886577,36.99999999999999,23.00876701224514,0.8782636234824088,0.9736842105263154,3.7826179959580126
